identifier,file,q1,q2,q3,q4,q5,total,possible
12,file12.py,1.0,0.0,1.0,1.0,1.0,4.0,5
84,file84.py,1.0,0.0,1.0,1.0,1.0,4.0,5
78,file78.py,1.0,0.0,1.0,1.0,1.0,4.0,5
71,file71.py,1.0,0.0,1.0,1.0,1.0,4.0,5
28,file28.py,1.0,0.0,1.0,1.0,1.0,4.0,5
41,file41.py,1.0,0.0,1.0,1.0,1.0,4.0,5
4,file4.py,1.0,0.0,1.0,1.0,1.0,4.0,5
76,file76.py,1.0,0.0,1.0,1.0,1.0,4.0,5
18,file18.py,1.0,0.0,1.0,1.0,1.0,4.0,5
54,file54.py,1.0,0.0,1.0,1.0,1.0,4.0,5
33,file33.py,1.0,0.0,1.0,1.0,1.0,4.0,5
1,file1.py,1.0,0.0,1.0,1.0,1.0,4.0,5
20,file20.py,1.0,0.0,1.0,1.0,1.0,4.0,5
81,file81.py,1.0,0.0,1.0,1.0,1.0,4.0,5
62,file62.py,1.0,0.0,1.0,1.0,1.0,4.0,5
11,file11.py,1.0,0.0,1.0,1.0,1.0,4.0,5
45,file45.py,1.0,0.0,1.0,1.0,1.0,4.0,5
15,file15.py,1.0,0.0,1.0,1.0,1.0,4.0,5
93,file93.py,1.0,0.0,1.0,1.0,1.0,4.0,5
70,file70.py,1.0,0.0,1.0,1.0,1.0,4.0,5
55,file55.py,1.0,0.0,1.0,1.0,1.0,4.0,5
79,file79.py,1.0,0.0,1.0,1.0,1.0,4.0,5
90,file90.py,1.0,0.0,1.0,1.0,1.0,4.0,5
73,file73.py,1.0,0.0,1.0,1.0,1.0,4.0,5
56,file56.py,1.0,0.0,1.0,1.0,1.0,4.0,5
31,file31.py,1.0,0.0,1.0,1.0,1.0,4.0,5
98,file98.py,1.0,0.0,1.0,1.0,1.0,4.0,5
58,file58.py,1.0,0.0,1.0,1.0,1.0,4.0,5
0,file0.py,1.0,0.0,1.0,1.0,1.0,4.0,5
7,file7.py,1.0,0.0,1.0,1.0,1.0,4.0,5
69,file69.py,1.0,0.0,1.0,1.0,1.0,4.0,5
75,file75.py,1.0,0.0,1.0,1.0,1.0,4.0,5
42,file42.py,1.0,0.0,1.0,1.0,1.0,4.0,5
67,file67.py,1.0,0.0,1.0,1.0,1.0,4.0,5
29,file29.py,1.0,0.0,1.0,1.0,1.0,4.0,5
34,file34.py,1.0,0.0,1.0,1.0,1.0,4.0,5
85,file85.py,1.0,0.0,1.0,1.0,1.0,4.0,5
9,file9.py,1.0,0.0,1.0,1.0,1.0,4.0,5
22,file22.py,1.0,0.0,1.0,1.0,1.0,4.0,5
25,file25.py,1.0,0.0,1.0,1.0,1.0,4.0,5
68,file68.py,1.0,0.0,1.0,1.0,1.0,4.0,5
50,file50.py,1.0,0.0,1.0,1.0,1.0,4.0,5
5,file5.py,1.0,0.0,1.0,1.0,1.0,4.0,5
24,file24.py,1.0,0.0,1.0,1.0,1.0,4.0,5
32,file32.py,1.0,0.0,1.0,1.0,1.0,4.0,5
